locus	ensg_id	gene_symbol	alignment_length	gc_percent	variable_sites	parsimony_informative_sites	pct_informative_sites	gc3_bucket	resolution_bucket	rate_bucket	completeness_bucket
ENSG00000002549_LAP3	ENSG00000002549	LAP3	1560	52.58	722	454	29.10	GC2	70	fast	90
ENSG00000002587_HS3ST1	ENSG00000002587	HS3ST1	936	62.89	335	179	19.12			slow	70
ENSG00000002745_WNT16	ENSG00000002745	WNT16	1095	55.02	421	261	23.84	GC1		slow	90
ENSG00000002746_HECW1	ENSG00000002746	HECW1	4818	55.77	2133	1237	25.67	GC1	90	fast	90
ENSG00000002822_MAD1L1	ENSG00000002822	MAD1L1	2151	61.84	1043	587	27.29		80	fast	
ENSG00000002919_SNX11	ENSG00000002919	SNX11	813	54.63	404	218	26.81	GC2	70	slow	90
ENSG00000002933_TMEM176A	ENSG00000002933	TMEM176A	711	58.38	567	354	49.79	GC1		fast	
ENSG00000003056_M6PR	ENSG00000003056	M6PR	837	51.29	333	178	21.27	GC2		slow	90
ENSG00000003096_KLHL13	ENSG00000003096	KLHL13	1968	45.76	604	352	17.89	GC3	70	slow	90
ENSG00000003137_CYP26B1	ENSG00000003137	CYP26B1	1539	62.51	553	272	17.67			slow	90
ENSG00000003147_ICA1	ENSG00000003147	ICA1	1452	47.15	624	315	21.69	GC2	70	slow	90
ENSG00000003393_ALS2	ENSG00000003393	ALS2	4974	47.77	2103	1184	23.80	GC3	90	slow	90
ENSG00000003436_TFPI	ENSG00000003436	TFPI	915	39.20	669	396	43.28	GC3		fast	90
ENSG00000003509_NDUFAF7	ENSG00000003509	NDUFAF7	1329	47.68	738	452	34.01	GC3	70	slow	80
ENSG00000003756_RBM5	ENSG00000003756	RBM5	2448	50.40	741	408	16.67	GC2	70	slow	90
ENSG00000003987_MTMR7	ENSG00000003987	MTMR7	1983	49.19	844	504	25.42	GC2		slow	90
ENSG00000003989_SLC7A2	ENSG00000003989	SLC7A2	1974	49.55	1043	667	33.79	GC2		fast	90
ENSG00000004139_SARM1	ENSG00000004139	SARM1	2175	65.68	985	509	23.40			fast	80
ENSG00000004142_POLDIP2	ENSG00000004142	POLDIP2	1107	56.24	395	210	18.97	GC1		slow	90
ENSG00000004455_AK2	ENSG00000004455	AK2	720	53.66	285	174	24.17	GC1		slow	90
ENSG00000004468_CD38	ENSG00000004468	CD38	906	49.18	704	470	51.88	GC2		fast	70
ENSG00000004478_FKBP4	ENSG00000004478	FKBP4	1380	55.37	682	365	26.45	GC1	70	fast	90
ENSG00000004487_KDM1A	ENSG00000004487	KDM1A	2631	50.89	920	468	17.79	GC3		fast	90
ENSG00000004534_RBM6	ENSG00000004534	RBM6	3372	48.60	1434	756	22.42	GC3	70	slow	90
ENSG00000004660_CAMKK1	ENSG00000004660	CAMKK1	1518	58.35	623	325	21.41	GC1		fast	80
ENSG00000004700_RECQL	ENSG00000004700	RECQL	1950	40.35	898	496	25.44	GC3	80	fast	90
ENSG00000004766_CCDC132	ENSG00000004766	CCDC132	2895	39.92	910	499	17.24	GC3	70	slow	90
ENSG00000004799_PDK4	ENSG00000004799	PDK4	1239	44.55	557	319	25.75	GC3	70	slow	90
ENSG00000004809_SLC22A16	ENSG00000004809	SLC22A16	1734	48.34	971	594	34.26	GC2	80	fast	80
ENSG00000004838_ZMYND10	ENSG00000004838	ZMYND10	1323	58.55	565	297	22.45			fast	80
ENSG00000004846_ABCB5	ENSG00000004846	ABCB5	3774	41.05	2009	1026	27.19	GC3	80	fast	90
ENSG00000004864_SLC25A13	ENSG00000004864	SLC25A13	2028	47.33	754	438	21.60	GC3	70	slow	90
ENSG00000004866_ST7	ENSG00000004866	ST7	1665	46.97	592	340	20.42	GC2		fast	90
ENSG00000004897_CDC27	ENSG00000004897	CDC27	2478	40.18	604	260	10.49	GC3		slow	90
ENSG00000004939_SLC4A1	ENSG00000004939	SLC4A1	2754	59.08	1537	990	35.95		80	slow	80
ENSG00000004948_CALCR	ENSG00000004948	CALCR	1425	50.66	898	641	44.98	GC1	80	fast	90
ENSG00000004961_HCCS	ENSG00000004961	HCCS	819	51.62	399	263	32.11	GC2	70	slow	90
ENSG00000004975_DVL2	ENSG00000004975	DVL2	2211	61.75	773	435	19.67	GC1	70	slow	70
ENSG00000005001_PRSS22	ENSG00000005001	PRSS22	945	66.13	511	310	32.80		70	slow	
ENSG00000005020_SKAP2	ENSG00000005020	SKAP2	1080	42.81	388	209	19.35	GC3	70	slow	90
ENSG00000005022_SLC25A5	ENSG00000005022	SLC25A5	897	52.21	278	128	14.27	GC1		slow	
ENSG00000005059_CCDC109B	ENSG00000005059	CCDC109B	993	45.59	570	340	34.24	GC2		fast	80
ENSG00000005073_HOXA11	ENSG00000005073	HOXA11	939	62.29	230	58	6.18			slow	
ENSG00000005100_DHX33	ENSG00000005100	DHX33	2118	57.29	956	547	25.83	GC1	70	fast	90
ENSG00000005102_MEOX1	ENSG00000005102	MEOX1	765	64.07	357	188	24.58			fast	90
ENSG00000005108_THSD7A	ENSG00000005108	THSD7A	4788	51.71	1922	1168	24.39	GC2	80	slow	90
ENSG00000005156_LIG3	ENSG00000005156	LIG3	3030	53.72	1300	701	23.14	GC1	80	fast	90
ENSG00000005175_RPAP3	ENSG00000005175	RPAP3	1998	37.42	829	406	20.32	GC3	70	slow	90
ENSG00000005187_ACSM3	ENSG00000005187	ACSM3	1761	43.81	918	505	28.68	GC3	90	slow	90
ENSG00000005189_NONAME	ENSG00000005189	NONAME	2328	47.09	1363	664	28.52	GC2	80	fast	80
ENSG00000005194_CIAPIN1	ENSG00000005194	CIAPIN1	939	53.05	452	258	27.48	GC2		fast	90
ENSG00000005206_SPPL2B	ENSG00000005206	SPPL2B	1761	63.93	968	556	31.57		70	fast	80
ENSG00000005238_FAM214B	ENSG00000005238	FAM214B	1617	61.92	483	186	11.50	GC1		slow	80
ENSG00000005243_COPZ2	ENSG00000005243	COPZ2	621	53.36	252	145	23.35	GC1		fast	80
ENSG00000005249_PRKAR2B	ENSG00000005249	PRKAR2B	1257	48.18	594	254	20.21	GC2		fast	90
ENSG00000005339_CREBBP	ENSG00000005339	CREBBP	7326	57.75	2645	1543	21.06	GC1	80	slow	90
ENSG00000005379_BZRAP1	ENSG00000005379	BZRAP1	5559	64.92	3260	1749	31.46	GC1	80	fast	80
ENSG00000005381_MPO	ENSG00000005381	MPO	2226	62.14	1035	626	28.12		70	slow	80
ENSG00000005421_PON1	ENSG00000005421	PON1	1068	42.69	600	342	32.02	GC3		fast	90
ENSG00000005436_GCFC2	ENSG00000005436	GCFC2	2346	40.91	1463	770	32.82	GC3	80	fast	90
ENSG00000005448_WDR54	ENSG00000005448	WDR54	1005	58.60	480	222	22.09	GC1		fast	80
ENSG00000005469_CROT	ENSG00000005469	CROT	1839	41.40	990	583	31.70	GC3	80	slow	90
ENSG00000005483_KMT2E	ENSG00000005483	KMT2E	5574	44.82	2203	1145	20.54	GC3	80	slow	90
ENSG00000005486_RHBDD2	ENSG00000005486	RHBDD2	1095	61.14	504	281	25.66			fast	80
ENSG00000005700_IBTK	ENSG00000005700	IBTK	4062	39.84	1900	926	22.80	GC3	80	slow	90
ENSG00000005810_MYCBP2	ENSG00000005810	MYCBP2	13923	44.97	4674	2640	18.96	GC3	80	slow	90
ENSG00000005812_FBXL3	ENSG00000005812	FBXL3	1287	42.84	447	260	20.20	GC3		slow	90
ENSG00000005844_ITGAL	ENSG00000005844	ITGAL	3510	55.09	2180	1450	41.31	GC1	80	fast	90
ENSG00000005882_PDK2	ENSG00000005882	PDK2	1224	57.63	318	169	13.81			fast	80
ENSG00000005884_ITGA3	ENSG00000005884	ITGA3	3201	60.60	1562	836	26.12			slow	80
ENSG00000005893_LAMP2	ENSG00000005893	LAMP2	1236	42.79	777	502	40.61	GC3		slow	80
ENSG00000005961_ITGA2B	ENSG00000005961	ITGA2B	3117	60.86	1845	1005	32.24		80	fast	80
ENSG00000005981_ASB4	ENSG00000005981	ASB4	1281	49.59	454	247	19.28	GC2	70	slow	90
ENSG00000006016_CRLF1	ENSG00000006016	CRLF1	1149	64.30	393	216	18.80		70	slow	80
ENSG00000006025_OSBPL7	ENSG00000006025	OSBPL7	2529	61.16	1106	512	20.25			fast	90
ENSG00000006042_TMEM98	ENSG00000006042	TMEM98	681	56.75	214	134	19.68	GC1		slow	90
ENSG00000006062_MAP3K14	ENSG00000006062	MAP3K14	2847	60.88	1303	763	26.80	GC1	80	fast	90
ENSG00000006071_ABCC8	ENSG00000006071	ABCC8	4749	58.26	1668	905	19.06		70	fast	90
ENSG00000006118_TMEM132A	ENSG00000006118	TMEM132A	3075	67.81	1573	791	25.72		70	fast	80
ENSG00000006125_AP2B1	ENSG00000006125	AP2B1	2856	46.94	806	402	14.08	GC2	80	slow	90
ENSG00000006194_ZNF263	ENSG00000006194	ZNF263	2055	54.90	973	492	23.94	GC1	80	fast	80
ENSG00000006377_DLX6	ENSG00000006377	DLX6	723	57.50	288	177	24.48	GC1		fast	80
ENSG00000006432_MAP3K9	ENSG00000006432	MAP3K9	3309	60.12	1022	521	15.74	GC1	80	fast	80
ENSG00000006451_RALA	ENSG00000006451	RALA	621	45.12	163	112	18.04	GC2		slow	90
ENSG00000006453_BAIAP2L1	ENSG00000006453	BAIAP2L1	1515	47.09	828	552	36.44	GC2	80	fast	90
ENSG00000006459_KDM7A	ENSG00000006459	KDM7A	2637	44.80	1173	707	26.81	GC3	80	slow	90
ENSG00000006468_ETV1	ENSG00000006468	ETV1	1434	49.11	419	216	15.06	GC2		slow	90
ENSG00000006530_AGK	ENSG00000006530	AGK	1266	51.74	655	358	28.28	GC2		fast	90
ENSG00000006555_TTC22	ENSG00000006555	TTC22	1710	67.39	788	379	22.16			fast	80
ENSG00000006576_PHTF2	ENSG00000006576	PHTF2	2244	41.30	792	371	16.53	GC3		slow	90
ENSG00000006607_FARP2	ENSG00000006607	FARP2	3123	57.89	1778	1056	33.81	GC1		fast	70
ENSG00000006611_USH1C	ENSG00000006611	USH1C	2700	57.22	1091	586	21.70	GC1		slow	80
ENSG00000006634_DBF4	ENSG00000006634	DBF4	2037	35.91	1088	531	26.07	GC3	70	fast	80
ENSG00000006652_IFRD1	ENSG00000006652	IFRD1	1353	45.04	601	357	26.39	GC3		slow	90
ENSG00000006695_COX10	ENSG00000006695	COX10	1332	55.42	672	426	31.98	GC1		fast	90
ENSG00000006704_GTF2IRD1	ENSG00000006704	GTF2IRD1	2835	60.40	1329	597	21.06			slow	80
ENSG00000006712_PAF1	ENSG00000006712	PAF1	1596	54.27	564	314	19.67	GC1	70	slow	90
ENSG00000006715_VPS41	ENSG00000006715	VPS41	2565	44.05	800	477	18.60	GC2		slow	80
ENSG00000006740_ARHGAP44	ENSG00000006740	ARHGAP44	2439	58.12	1112	668	27.39	GC1	70	fast	90
ENSG00000006744_ELAC2	ENSG00000006744	ELAC2	2472	58.59	1461	862	34.87	GC1	90	fast	90
ENSG00000006788_MYH13	ENSG00000006788	MYH13	5817	53.75	2311	1193	20.51		70	slow	70
ENSG00000006831_ADIPOR2	ENSG00000006831	ADIPOR2	1161	49.41	422	254	21.88	GC2		fast	90
ENSG00000006837_CDKL3	ENSG00000006837	CDKL3	1779	37.36	974	461	25.91	GC3	70	fast	90
ENSG00000007047_MARK4	ENSG00000007047	MARK4	2259	63.30	910	348	15.41			fast	80
ENSG00000007062_PROM1	ENSG00000007062	PROM1	2598	44.35	1961	1408	54.20	GC2	80	fast	90
ENSG00000007168_PAFAH1B1	ENSG00000007168	PAFAH1B1	1233	43.74	267	130	10.54	GC3		slow	90
ENSG00000007171_NOS2	ENSG00000007171	NOS2	3453	58.04	1653	969	28.06		80	fast	90
ENSG00000007202_KIAA0100	ENSG00000007202	KIAA0100	6708	51.74	2970	1578	23.52	GC2	90	slow	90
ENSG00000007216_SLC13A2	ENSG00000007216	SLC13A2	1779	58.25	958	579	32.55			slow	70
ENSG00000007237_GAS7	ENSG00000007237	GAS7	1251	56.22	368	206	16.47	GC1		fast	70
ENSG00000007264_MATK	ENSG00000007264	MATK	1473	64.29	758	351	23.83		70	slow	
ENSG00000007314_SCN4A	ENSG00000007314	SCN4A	5469	57.95	2155	991	18.12		70	slow	80
ENSG00000007341_ST7L	ENSG00000007341	ST7L	1695	44.43	643	316	18.64	GC3		slow	90
ENSG00000007350_TKTL1	ENSG00000007350	TKTL1	1788	52.81	1114	727	40.66	GC2	70	fast	90
ENSG00000007376_RPUSD1	ENSG00000007376	RPUSD1	939	64.34	450	297	31.63			slow	80
ENSG00000007384_RHBDF1	ENSG00000007384	RHBDF1	2571	63.84	910	500	19.45		80	slow	80
ENSG00000007392_LUC7L	ENSG00000007392	LUC7L	1116	55.42	408	233	20.88	GC1		slow	80
ENSG00000007402_CACNA2D2	ENSG00000007402	CACNA2D2	3246	56.88	1029	463	14.26		80	fast	70
ENSG00000007516_BAIAP3	ENSG00000007516	BAIAP3	3465	63.63	2110	1027	29.64		80	fast	80
ENSG00000007520_TSR3	ENSG00000007520	TSR3	939	65.81	557	306	32.59		70	fast	80
ENSG00000007541_PIGQ	ENSG00000007541	PIGQ	1746	64.03	1001	519	29.73			fast	90
ENSG00000007545_CRAMP1L	ENSG00000007545	CRAMP1L	3678	63.37	2055	1271	34.56		80	fast	90
ENSG00000007866_TEAD3	ENSG00000007866	TEAD3	1407	60.32	401	185	13.15			slow	80
ENSG00000007908_SELE	ENSG00000007908	SELE	1839	52.74	1230	804	43.72	GC2	90	fast	80
ENSG00000007923_DNAJC11	ENSG00000007923	DNAJC11	1680	54.45	628	392	23.33	GC1	80	fast	90
ENSG00000007944_MYLIP	ENSG00000007944	MYLIP	1338	54.25	506	316	23.62	GC1		fast	90
ENSG00000007952_NOX1	ENSG00000007952	NOX1	1695	46.85	759	344	20.29	GC2	80	slow	70
ENSG00000007968_E2F2	ENSG00000007968	E2F2	1314	62.17	656	325	24.73		70	fast	80
ENSG00000008018_PSMB1	ENSG00000008018	PSMB1	726	51.48	313	203	27.96	GC2		fast	90
ENSG00000008056_SYN1	ENSG00000008056	SYN1	2121	62.96	633	325	15.32	GC1	70	slow	70
ENSG00000008086_CDKL5	ENSG00000008086	CDKL5	2844	47.97	1181	689	24.23	GC2	70	slow	90
ENSG00000008130_NADK	ENSG00000008130	NADK	1344	59.23	628	359	26.71		80	fast	70
ENSG00000008196_TFAP2B	ENSG00000008196	TFAP2B	1383	58.43	420	145	10.48	GC1		fast	90
ENSG00000008197_TFAP2D	ENSG00000008197	TFAP2D	1359	53.23	301	144	10.60	GC2		slow	90
ENSG00000008226_DLEC1	ENSG00000008226	DLEC1	5235	58.15	3505	1979	37.80	GC1		fast	80
ENSG00000008256_CYTH3	ENSG00000008256	CYTH3	1170	54.43	456	260	22.22			fast	80
ENSG00000008277_ADAM22	ENSG00000008277	ADAM22	2721	45.33	1128	534	19.63	GC3	80	slow	90
ENSG00000008282_SYPL1	ENSG00000008282	SYPL1	777	43.68	425	214	27.54	GC3		fast	90
ENSG00000008294_SPAG9	ENSG00000008294	SPAG9	3930	46.14	1445	724	18.42	GC3	80	slow	90
ENSG00000008311_AASS	ENSG00000008311	AASS	2781	45.90	1277	774	27.83	GC3	80	fast	90
ENSG00000008323_PLEKHG6	ENSG00000008323	PLEKHG6	2376	61.29	1425	825	34.72	GC1	80	fast	90
ENSG00000008405_CRY1	ENSG00000008405	CRY1	1764	45.73	668	305	17.29	GC3		slow	90
ENSG00000008441_NFIX	ENSG00000008441	NFIX	1506	60.55	346	155	10.29			slow	80
ENSG00000008513_ST3GAL1	ENSG00000008513	ST3GAL1	1023	58.17	508	312	30.50			fast	90
ENSG00000008710_PKD1	ENSG00000008710	PKD1	12762	65.90	7575	4529	35.49		90	fast	80
ENSG00000008853_RHOBTB2	ENSG00000008853	RHOBTB2	2184	59.34	718	317	14.51		70	fast	70
ENSG00000008869_HEATR5B	ENSG00000008869	HEATR5B	6213	45.53	2106	1257	20.23	GC3	90	slow	90
ENSG00000009307_CSDE1	ENSG00000009307	CSDE1	2442	42.98	584	275	11.26	GC3		slow	90
ENSG00000009335_UBE3C	ENSG00000009335	UBE3C	3252	48.16	1470	995	30.60	GC2	90	fast	90
ENSG00000009413_REV3L	ENSG00000009413	REV3L	9261	39.82	3801	1894	20.45	GC3	90	slow	90
ENSG00000009694_TENM1	ENSG00000009694	TENM1	8199	47.23	2519	1320	16.10	GC2	80	slow	80
ENSG00000009709_PAX7	ENSG00000009709	PAX7	1518	64.06	765	313	20.62			fast	90
ENSG00000009765_IYD	ENSG00000009765	IYD	870	49.77	547	367	42.18	GC2		fast	90
ENSG00000009780_FAM76A	ENSG00000009780	FAM76A	924	46.88	281	137	14.83	GC2		fast	90
ENSG00000009830_POMT2	ENSG00000009830	POMT2	2253	55.80	1062	534	23.70	GC1	70	slow	90
ENSG00000009844_VTA1	ENSG00000009844	VTA1	924	45.63	378	196	21.21	GC3		fast	90
ENSG00000009950_MLXIPL	ENSG00000009950	MLXIPL	2574	63.58	1425	681	26.46		80	fast	80
ENSG00000009954_BAZ1B	ENSG00000009954	BAZ1B	4353	47.94	1781	1047	24.05	GC2	70	slow	90
ENSG00000010017_RANBP9	ENSG00000010017	RANBP9	1680	43.64	533	254	15.12	GC3		slow	90
ENSG00000010072_SPRTN	ENSG00000010072	SPRTN	1470	49.11	972	679	46.19	GC2		fast	90
ENSG00000010219_DYRK4	ENSG00000010219	DYRK4	1566	48.83	863	471	30.08	GC1	70	fast	90
ENSG00000010256_UQCRC1	ENSG00000010256	UQCRC1	1443	60.15	685	396	27.44		70	fast	90
ENSG00000010270_STARD3NL	ENSG00000010270	STARD3NL	708	45.24	333	153	21.61	GC3		slow	90
ENSG00000010278_CD9	ENSG00000010278	CD9	681	51.43	339	209	30.69	GC1		fast	80
ENSG00000010282_HHATL	ENSG00000010282	HHATL	1515	59.28	595	277	18.28			fast	70
ENSG00000010292_NCAPD2	ENSG00000010292	NCAPD2	4203	54.22	2055	1239	29.48	GC1	90	fast	90
ENSG00000010310_GIPR	ENSG00000010310	GIPR	1401	62.26	836	402	28.69		70	slow	80
ENSG00000010318_PHF7	ENSG00000010318	PHF7	1152	48.84	604	302	26.22	GC2		fast	90
ENSG00000010319_SEMA3G	ENSG00000010319	SEMA3G	2337	64.27	1063	641	27.43		80	slow	80
ENSG00000010322_NISCH	ENSG00000010322	NISCH	4509	60.57	2049	1117	24.77		70	slow	90
ENSG00000010327_STAB1	ENSG00000010327	STAB1	7716	63.00	4232	2372	30.74		80	fast	90
ENSG00000010361_FUZ	ENSG00000010361	FUZ	1257	64.35	749	374	29.75			fast	90
ENSG00000010379_SLC6A13	ENSG00000010379	SLC6A13	1809	57.04	714	380	21.01		70	slow	80
ENSG00000010626_LRRC23	ENSG00000010626	LRRC23	1032	54.09	539	337	32.66	GC1	70	fast	90
ENSG00000010671_BTK	ENSG00000010671	BTK	1980	46.62	566	305	15.40	GC2	70	slow	90
ENSG00000010704_HFE	ENSG00000010704	HFE	1047	59.49	752	469	44.79			fast	80
ENSG00000010803_SCMH1	ENSG00000010803	SCMH1	1995	54.22	803	366	18.35	GC1		fast	90
ENSG00000010810_FYN	ENSG00000010810	FYN	1614	50.61	459	230	14.25	GC2		slow	90
ENSG00000010818_HIVEP2	ENSG00000010818	HIVEP2	7341	50.81	3061	1904	25.94	GC2	80	slow	90
ENSG00000010932_FMO1	ENSG00000010932	FMO1	1599	47.01	834	450	28.14	GC2	70	slow	90
ENSG00000011007_TCEB3	ENSG00000011007	TCEB3	2262	50.31	1121	674	29.80	GC2	80	fast	80
ENSG00000011009_LYPLA2	ENSG00000011009	LYPLA2	696	58.46	181	68	9.77	GC1		slow	70
ENSG00000011021_CLCN6	ENSG00000011021	CLCN6	2613	55.30	926	574	21.97	GC1		fast	90
ENSG00000011028_MRC2	ENSG00000011028	MRC2	4434	63.20	1925	847	19.10		80	fast	90
ENSG00000011083_SLC6A7	ENSG00000011083	SLC6A7	1911	60.19	685	309	16.17			slow	80
ENSG00000011105_TSPAN9	ENSG00000011105	TSPAN9	720	55.61	321	169	23.47			slow	80
ENSG00000011114_BTBD7	ENSG00000011114	BTBD7	3384	48.30	1289	726	21.45	GC3	70	slow	90
ENSG00000011132_APBA3	ENSG00000011132	APBA3	1737	65.63	1025	521	29.99			slow	
ENSG00000011143_MKS1	ENSG00000011143	MKS1	1680	56.17	727	377	22.44	GC1	70	slow	90
ENSG00000011198_ABHD5	ENSG00000011198	ABHD5	1050	46.81	433	246	23.43	GC3		slow	90
ENSG00000011243_AKAP8L	ENSG00000011243	AKAP8L	1941	58.45	764	454	23.39	GC1	80	slow	80
ENSG00000011258_MBTD1	ENSG00000011258	MBTD1	1890	42.99	432	220	11.64	GC3		slow	90
ENSG00000011260_UTP18	ENSG00000011260	UTP18	1668	46.69	820	466	27.94	GC3	80	slow	90
ENSG00000011275_RNF216	ENSG00000011275	RNF216	2772	49.31	1198	694	25.04	GC2	80	fast	90
ENSG00000011295_TTC19	ENSG00000011295	TTC19	1128	52.66	659	378	33.51	GC2	70	fast	90
ENSG00000011347_SYT7	ENSG00000011347	SYT7	1731	60.62	499	174	10.05			slow	80
ENSG00000011376_LARS2	ENSG00000011376	LARS2	2712	55.44	1303	804	29.65	GC1	70	fast	90
ENSG00000011405_PIK3C2A	ENSG00000011405	PIK3C2A	5067	40.31	2075	937	18.49	GC3	90	fast	90
ENSG00000011422_PLAUR	ENSG00000011422	PLAUR	1002	59.81	713	445	44.41	GC1		fast	90
ENSG00000011426_ANLN	ENSG00000011426	ANLN	3387	44.73	1872	1057	31.21	GC3	80	fast	90
ENSG00000011454_RABGAP1	ENSG00000011454	RABGAP1	3210	44.03	1036	557	17.35	GC3	70	slow	90
ENSG00000011465_DCN	ENSG00000011465	DCN	1080	46.47	518	305	28.24	GC2		slow	90
ENSG00000011478_QPCTL	ENSG00000011478	QPCTL	1152	64.37	623	329	28.56			fast	80
ENSG00000011523_CEP68	ENSG00000011523	CEP68	2277	60.41	1698	1146	50.33	GC1	80	fast	90
ENSG00000011566_MAP4K3	ENSG00000011566	MAP4K3	2685	41.81	894	485	18.06	GC3	80	fast	90
ENSG00000011677_GABRA3	ENSG00000011677	GABRA3	1479	48.20	475	265	17.92	GC2		slow	90
ENSG00000012048_BRCA1	ENSG00000012048	BRCA1	5610	42.73	3974	2256	40.21	GC3	90	fast	90
ENSG00000012061_ERCC1	ENSG00000012061	ERCC1	897	60.47	466	267	29.77	GC1		fast	90
ENSG00000012124_CD22	ENSG00000012124	CD22	2535	54.29	1766	1183	46.67	GC1	80	fast	70
ENSG00000012171_SEMA3B	ENSG00000012171	SEMA3B	2250	64.02	993	596	26.49		80	slow	70
ENSG00000012174_MBTPS2	ENSG00000012174	MBTPS2	1563	44.06	558	282	18.04	GC3	70	slow	90
ENSG00000012211_PRICKLE3	ENSG00000012211	PRICKLE3	1848	63.58	843	486	26.30	GC1	70	fast	80
ENSG00000012223_LTF	ENSG00000012223	LTF	2127	54.92	1429	974	45.79	GC1	70	fast	90
ENSG00000012232_EXTL3	ENSG00000012232	EXTL3	2760	53.64	1021	585	21.20	GC1	80	slow	90
ENSG00000012504_NR1H4	ENSG00000012504	NR1H4	1461	44.49	626	385	26.35	GC3		fast	90
ENSG00000012660_ELOVL5	ENSG00000012660	ELOVL5	897	48.81	351	212	23.63	GC2		slow	80
ENSG00000012779_ALOX5	ENSG00000012779	ALOX5	2025	55.31	859	463	22.86			fast	90
ENSG00000012822_CALCOCO1	ENSG00000012822	CALCOCO1	2076	58.94	893	444	21.39	GC1	80	fast	90
ENSG00000012983_MAP4K5	ENSG00000012983	MAP4K5	2541	41.09	812	362	14.25	GC3	70	slow	90
ENSG00000013016_EHD3	ENSG00000013016	EHD3	1608	58.58	582	323	20.09			fast	90
ENSG00000013275_PSMC4	ENSG00000013275	PSMC4	1257	55.19	362	220	17.50	GC1		fast	90
ENSG00000013293_SLC7A14	ENSG00000013293	SLC7A14	2316	54.10	761	435	18.78	GC1	70	slow	90
ENSG00000013297_CLDN11	ENSG00000013297	CLDN11	624	61.65	198	101	16.19			fast	90
ENSG00000013364_MVP	ENSG00000013364	MVP	2673	61.32	1317	730	27.31		70	fast	90
ENSG00000013374_NUB1	ENSG00000013374	NUB1	1848	45.49	828	489	26.46	GC3	80	fast	80
ENSG00000013375_PGM3	ENSG00000013375	PGM3	1629	44.96	801	483	29.65	GC3	80	slow	90
ENSG00000013392_RWDD2A	ENSG00000013392	RWDD2A	879	44.35	401	213	24.23	GC2	70	slow	90
ENSG00000013441_CLK1	ENSG00000013441	CLK1	1455	40.16	507	269	18.49	GC3		slow	90
ENSG00000013523_ANGEL1	ENSG00000013523	ANGEL1	2004	57.33	844	428	21.36	GC1	70	fast	90
ENSG00000013561_RNF14	ENSG00000013561	RNF14	1425	47.81	490	239	16.77	GC2		slow	70
ENSG00000013563_DNASE1L1	ENSG00000013563	DNASE1L1	909	60.29	538	313	34.43			fast	70
ENSG00000013573_DDX11	ENSG00000013573	DDX11	2724	57.28	1472	860	31.57	GC1	90	fast	90
ENSG00000013588_GPRC5A	ENSG00000013588	GPRC5A	1074	55.69	627	425	39.57		70	fast	90
ENSG00000013619_MAMLD1	ENSG00000013619	MAMLD1	2208	60.44	1567	1015	45.97	GC1	70	fast	90
ENSG00000013725_CD6	ENSG00000013725	CD6	2010	62.85	1269	829	41.24		70	fast	80
ENSG00000013810_TACC3	ENSG00000013810	TACC3	2385	59.98	1846	1304	54.68	GC1	70	fast	70
ENSG00000014123_UFL1	ENSG00000014123	UFL1	2385	40.95	1146	542	22.73	GC3	70	slow	90
ENSG00000014138_POLA2	ENSG00000014138	POLA2	1797	54.06	953	585	32.55	GC1	80	fast	90
