locus	num_taxa	tree_length	mean_bootstrap_support
OGcluster_1131_1	38	7.7577	81.7
OGcluster_1133_0	49	5.7614	73.2
OGcluster_1134_0	17	0.4194	38.3
OGcluster_1137_1	48	9.3662	76.0
OGcluster_1138_0	17	1.0860	73.6
OGcluster_113_0	20	1.0792	85.5
OGcluster_113_1	28	3.6179	88.3
OGcluster_113_2	25	2.3884	79.6
OGcluster_113_3	18	0.6749	79.7
OGcluster_113_4	41	4.5821	80.4
OGcluster_113_5	23	1.4588	85.0
OGcluster_1141_0	20	2.2960	72.6
OGcluster_1142_0	45	3.1392	66.0
OGcluster_1144_0	17	5.7617	83.6
OGcluster_1145_0	26	1.8415	65.1
OGcluster_1148_0	22	1.7120	70.5
OGcluster_114_0	31	5.4658	77.3
OGcluster_114_1	39	6.1734	75.2
OGcluster_114_2	20	4.0560	81.5
OGcluster_1151_0	25	6.9326	76.3
OGcluster_1153_1	38	5.0977	78.4
OGcluster_1156_0	17	0.5356	71.7
OGcluster_1158_0	30	1.4444	84.9
OGcluster_115_0	21	0.9160	89.3
OGcluster_115_1	45	10.9073	75.4
OGcluster_115_2	28	4.2055	77.3
OGcluster_1163_0	20	1.6859	86.2
OGcluster_1163_1	18	0.3238	80.8
OGcluster_116_0	21	0.7082	80.9
OGcluster_116_1	17	0.5198	90.9
OGcluster_116_2	37	6.9883	77.9
OGcluster_1172_0	21	0.4973	89.3
OGcluster_1173_0	33	7.0756	78.5
OGcluster_117_0	30	4.0124	62.0
OGcluster_117_1	21	0.6966	63.6
OGcluster_117_2	17	1.1958	52.1
OGcluster_1182_0	35	9.1742	74.6
OGcluster_1183_0	23	6.6211	77.3
OGcluster_1184_0	27	6.4706	72.4
OGcluster_1188_0	20	0.4317	86.1
OGcluster_118_0	21	1.0137	91.5
OGcluster_118_1	26	6.9118	80.7
OGcluster_118_2	23	0.9806	79.8
OGcluster_118_3	45	5.2577	76.2
OGcluster_118_4	36	9.0366	68.0
OGcluster_118_5	47	6.1310	77.3
OGcluster_1190_0	17	1.0601	64.9
OGcluster_1190_1	26	1.4551	55.0
OGcluster_1191_1	34	2.5300	83.9
OGcluster_1194_0	25	1.5562	82.2
OGcluster_11_0	22	5.9469	72.7
OGcluster_11_1	18	0.7815	87.7
OGcluster_11_2	18	0.9758	89.4
OGcluster_11_3	19	0.9823	86.7
OGcluster_11_4	43	8.1292	78.4
OGcluster_11_5	30	1.5675	79.6
OGcluster_1200_0	23	1.3513	77.0
OGcluster_1201_0	30	1.5150	49.8
OGcluster_1204_0	26	24.9937	50.4
OGcluster_1206_0	20	0.6335	85.1
OGcluster_1206_1	22	0.7875	80.7
OGcluster_1207_0	19	1.2007	84.4
OGcluster_120_0	25	1.9250	80.2
OGcluster_120_1	20	1.3745	68.1
OGcluster_1214_0	17	0.3521	86.8
OGcluster_1215_0	17	2.3520	67.1
OGcluster_1216_1	42	11.9715	81.1
OGcluster_1226_0	34	1.5196	54.4
OGcluster_1227_0	18	0.3658	77.8
OGcluster_1228_0	42	4.2133	71.8
OGcluster_122_0	20	1.6829	65.4
OGcluster_122_1	32	2.0835	75.5
OGcluster_122_2	32	2.7499	79.6
OGcluster_1232_0	35	4.5542	86.3
OGcluster_1233_0	23	2.3276	88.7
OGcluster_1235_0	34	4.8263	52.1
OGcluster_1235_1	32	5.5683	68.3
OGcluster_1235_2	25	6.8368	55.0
OGcluster_1236_0	26	13.1666	62.0
OGcluster_1239_0	41	5.5789	77.7
OGcluster_1239_1	42	5.1024	80.5
OGcluster_1241_0	39	11.9956	68.9
OGcluster_1241_1	17	1.4620	75.0
OGcluster_1245_0	47	8.5853	82.5
OGcluster_1246_0	19	11.8380	79.9
OGcluster_1250_0	31	4.1776	79.0
OGcluster_1251_0	24	2.7779	69.6
OGcluster_1256_0	25	5.4285	68.3
OGcluster_125_0	18	0.3181	69.1
OGcluster_125_1	28	2.0368	77.5
OGcluster_125_2	22	0.4787	79.8
OGcluster_125_3	17	0.3252	87.3
OGcluster_125_4	19	1.4895	71.8
OGcluster_1264_0	23	1.1309	93.0
OGcluster_1264_1	25	3.0702	93.6
OGcluster_1265_0	27	1.1868	88.0
OGcluster_126_0	48	9.5327	70.8
OGcluster_126_1	40	5.9635	78.3
OGcluster_126_2	38	3.8950	81.1
OGcluster_1270_0	22	5.3596	82.1
OGcluster_1272_0	28	5.6959	57.0
OGcluster_1273_0	17	1.0145	85.2
OGcluster_1274_0	23	0.7187	85.6
OGcluster_1277_0	22	9.1522	71.6
OGcluster_1278_0	32	7.5259	62.3
OGcluster_1281_0	19	5.1613	69.6
OGcluster_1282_0	40	2.6030	90.8
OGcluster_1283_0	47	3.2323	81.6
OGcluster_1284_0	22	3.4698	83.3
OGcluster_1288_0	31	9.9918	76.8
OGcluster_1290_1	46	4.1596	74.8
OGcluster_1293_0	23	6.4921	73.4
OGcluster_1297_0	17	2.9733	67.4
OGcluster_129_0	19	3.5757	63.8
OGcluster_129_1	21	3.7447	72.2
OGcluster_129_2	18	2.5470	78.0
OGcluster_129_3	17	0.9778	72.1
OGcluster_129_4	29	5.1108	67.2
OGcluster_129_5	24	6.0465	80.2
OGcluster_129_6	17	3.3936	75.1
OGcluster_129_7	27	3.6562	78.4
OGcluster_1301_0	22	0.4543	78.8
OGcluster_1302_0	44	8.7912	82.7
OGcluster_1305_0	21	1.2031	73.7
OGcluster_130_0	30	2.9278	83.3
OGcluster_1312_0	21	0.9858	86.3
OGcluster_1315_0	27	4.2588	86.8
OGcluster_131_0	29	1.3167	88.4
OGcluster_131_1	24	1.0384	85.0
OGcluster_1323_0	22	0.3460	43.6
OGcluster_1327_0	29	13.6430	68.5
OGcluster_1328_0	23	2.3494	65.5
OGcluster_1328_1	20	3.8918	73.1
OGcluster_1329_1	22	2.4639	61.7
OGcluster_132_0	29	2.0829	77.6
OGcluster_132_1	21	0.7281	79.6
OGcluster_132_2	47	7.0423	71.3
OGcluster_1331_0	46	19.4273	69.6
OGcluster_1332_0	22	0.9952	80.6
OGcluster_1333_0	40	3.8554	92.8
OGcluster_1335_0	29	1.2562	88.6
OGcluster_1336_0	47	7.4820	79.1
OGcluster_1337_0	24	0.4480	55.1
OGcluster_133_0	32	5.0720	66.4
OGcluster_133_1	24	2.0995	72.5
OGcluster_1347_1	49	13.1317	77.3
OGcluster_134_0	25	2.5829	74.8
OGcluster_134_1	40	5.7388	76.5
OGcluster_134_2	38	3.7360	67.8
OGcluster_134_3	33	3.1678	69.9
OGcluster_134_4	35	5.4618	64.6
OGcluster_134_5	24	1.7628	65.5
OGcluster_134_6	22	1.1507	84.7
OGcluster_134_7	33	3.8654	87.1
OGcluster_1351_0	19	10.8186	79.4
OGcluster_1352_0	22	1.2860	73.8
OGcluster_1359_0	37	12.1477	67.7
OGcluster_1363_0	30	1.2737	48.0
OGcluster_1363_1	26	0.9109	75.7
OGcluster_1364_0	40	8.6795	76.7
OGcluster_1365_0	17	0.9687	88.9
OGcluster_1365_1	19	1.6216	88.1
OGcluster_1373_0	18	7.0274	43.1
OGcluster_1374_0	26	4.5107	89.3
OGcluster_1374_1	46	7.7452	73.4
OGcluster_1375_0	22	3.9436	80.5
OGcluster_1377_0	22	2.1338	72.3
OGcluster_1377_1	23	1.1766	70.8
OGcluster_1380_0	43	1.9878	66.5
OGcluster_1380_1	45	3.6975	72.9
OGcluster_1382_0	47	10.2038	72.2
OGcluster_138_0	50	7.1066	73.5
OGcluster_1395_0	22	4.1111	68.7
OGcluster_139_0	30	15.7333	72.4
OGcluster_139_1	42	2.4533	76.0
OGcluster_13_0	36	2.4696	72.3
OGcluster_13_1	21	2.8036	65.9
OGcluster_13_2	37	1.5986	66.7
OGcluster_13_3	21	1.0161	71.4
OGcluster_13_4	17	0.1716	69.2
OGcluster_1400_0	30	9.1145	92.1
OGcluster_1404_0	19	7.3288	68.6
OGcluster_1408_0	38	14.3898	67.4
OGcluster_1409_0	47	3.8232	75.1
OGcluster_1419_0	25	7.8834	59.4
OGcluster_141_0	45	17.4242	73.0
OGcluster_141_1	38	3.2770	73.9
OGcluster_1422_0	21	1.1889	80.7
OGcluster_1426_0	17	11.5610	73.9
OGcluster_1432_0	49	11.6837	82.0
OGcluster_1434_0	22	0.6850	75.8
OGcluster_1436_0	17	1.1936	63.4
OGcluster_1437_0	44	10.8565	76.6
OGcluster_1439_0	19	5.3780	81.6
OGcluster_1441_0	21	0.8576	90.8
OGcluster_1442_1	46	7.6146	82.0
OGcluster_1444_0	30	4.8716	79.9
OGcluster_1445_0	19	3.1836	69.1
OGcluster_1447_0	18	2.2048	69.5
OGcluster_1448_1	45	8.6753	80.6
OGcluster_144_0	40	6.4105	73.6
OGcluster_1450_0	17	3.2686	73.6
OGcluster_1450_1	20	1.2156	91.1
OGcluster_1451_1	50	9.6714	74.1
OGcluster_145_0	38	2.7810	86.4
OGcluster_145_1	22	6.5314	81.3
OGcluster_1460_0	19	1.3118	68.6
OGcluster_1465_0	17	6.4305	93.1
OGcluster_1465_1	17	4.7121	76.1
OGcluster_1467_0	32	4.5470	68.3
OGcluster_1467_1	23	0.8722	75.3
OGcluster_146_0	23	1.1352	80.8
OGcluster_146_1	30	1.5959	87.1
OGcluster_146_2	21	1.0670	86.2
OGcluster_1473_0	29	6.1533	82.7
OGcluster_1483_0	26	16.8032	72.4
OGcluster_148_0	23	1.3111	76.5
OGcluster_1490_0	22	0.6322	86.4
OGcluster_1491_0	48	6.8828	73.0
OGcluster_1492_0	46	21.8347	72.0
OGcluster_1495_0	25	6.2401	79.8
OGcluster_1499_0	45	9.9956	79.9
OGcluster_14_0	18	1.7044	84.8
OGcluster_14_1	30	6.1293	61.0
OGcluster_14_2	17	3.5051	58.0
OGcluster_14_3	18	3.3383	63.7
OGcluster_14_4	18	1.0665	80.2
OGcluster_14_5	24	4.4366	73.4
OGcluster_14_6	17	2.5140	91.1
OGcluster_1500_0	19	4.4987	66.0
OGcluster_1501_0	32	2.9439	83.1
OGcluster_1501_1	23	2.4786	92.2
OGcluster_1503_0	20	0.7113	81.9
OGcluster_1505_1	40	5.3021	79.1
OGcluster_1506_1	46	13.2612	75.0
OGcluster_150_0	41	5.5580	83.1
OGcluster_1513_0	22	0.5322	79.6
OGcluster_1514_0	17	3.7043	60.7
OGcluster_1516_0	21	0.8155	91.2
OGcluster_1517_0	19	5.9842	94.6
OGcluster_1518_0	23	7.2963	61.7
OGcluster_1519_0	47	9.5014	73.6
OGcluster_1520_0	18	0.9747	70.9
OGcluster_1522_0	21	4.7302	70.2
OGcluster_1524_1	48	8.6328	72.8
OGcluster_1526_0	22	3.1712	72.6
OGcluster_1529_0	48	11.0436	78.6
OGcluster_1531_0	49	10.1570	79.4
OGcluster_1533_1	38	7.3462	79.4
OGcluster_1534_0	42	3.4224	77.8
OGcluster_1537_0	24	1.2268	54.2
OGcluster_1540_0	48	5.7422	72.6
OGcluster_1541_0	18	0.7270	54.9
OGcluster_1545_0	20	13.9172	51.9
OGcluster_1549_0	32	10.8243	70.0
OGcluster_1550_0	29	14.0571	65.9
OGcluster_1553_0	24	1.6387	86.4
OGcluster_1554_0	36	6.4881	78.9
OGcluster_1556_0	21	0.9060	91.5
OGcluster_1557_0	24	11.7017	72.1
OGcluster_1558_0	45	8.2477	74.8
OGcluster_1559_0	18	2.4384	73.0
OGcluster_155_0	20	6.1506	84.5
OGcluster_155_1	25	2.2784	80.5
OGcluster_155_2	19	1.0584	85.1
OGcluster_155_3	23	2.1903	83.0
OGcluster_1560_0	27	5.5041	81.0
OGcluster_1561_0	28	5.0348	65.9
OGcluster_1561_1	20	0.6769	79.8
OGcluster_1563_0	19	4.5011	64.5
OGcluster_1568_0	19	1.6012	73.8
OGcluster_156_0	17	2.0270	78.5
OGcluster_156_1	31	4.8297	75.0
OGcluster_156_2	26	2.1574	82.8
OGcluster_1572_0	29	2.8874	88.5
OGcluster_1574_0	20	4.3320	75.3
OGcluster_1576_1	37	7.9778	84.6
OGcluster_1577_1	45	20.6501	77.5
OGcluster_1581_0	17	0.3843	65.3
OGcluster_1585_0	27	5.8090	66.0
OGcluster_1589_1	43	5.3682	83.5
OGcluster_1598_0	28	2.0166	63.2
OGcluster_159_0	24	1.4073	87.8
OGcluster_159_1	25	0.9708	84.6
OGcluster_15_0	41	6.3779	75.3
OGcluster_15_1	21	1.0696	81.8
OGcluster_15_2	47	5.4444	67.8
OGcluster_15_3	24	0.8851	83.0
OGcluster_15_4	20	2.2577	71.2
OGcluster_15_5	47	9.9859	65.6
OGcluster_15_6	49	5.8721	76.6
OGcluster_1604_0	20	2.0699	73.9
OGcluster_1605_0	25	1.0933	81.7
OGcluster_1608_0	22	0.7497	89.1
OGcluster_1608_1	18	6.4242	76.6
OGcluster_160_0	19	1.8997	82.3
OGcluster_1613_0	31	1.6483	71.6
OGcluster_1616_0	18	1.2035	76.5
OGcluster_1621_0	21	9.0684	79.2
OGcluster_1622_0	23	0.9944	90.3
OGcluster_1625_0	22	1.2997	76.9
OGcluster_1628_0	26	0.9942	89.4
OGcluster_162_0	27	1.2110	73.7
OGcluster_1630_0	17	1.8536	68.6
OGcluster_1631_1	46	19.3879	71.0
OGcluster_1636_0	41	3.6314	73.2
OGcluster_1636_1	37	5.7506	75.4
OGcluster_1637_1	44	17.2330	81.6
OGcluster_163_0	22	8.9376	69.7
OGcluster_1643_0	18	0.4887	91.9
OGcluster_1647_0	17	8.3106	79.4
OGcluster_164_0	22	1.7674	91.1
OGcluster_164_1	42	6.9240	75.4
OGcluster_164_2	20	0.5952	87.0
OGcluster_1651_0	32	16.8705	72.6
OGcluster_1652_0	19	12.4113	64.1
OGcluster_165_0	37	6.1013	93.7
OGcluster_1660_0	21	1.5455	82.8
OGcluster_1660_1	19	1.7948	74.8
OGcluster_1664_0	28	1.8524	80.1
OGcluster_1666_1	47	9.9220	81.7
OGcluster_1667_0	22	8.7623	67.7
OGcluster_166_0	21	1.7399	65.3
OGcluster_166_1	27	0.8602	75.0
OGcluster_1673_0	18	1.1185	84.3
OGcluster_167_0	46	6.1589	76.3
OGcluster_167_1	42	8.7618	67.9
OGcluster_167_2	46	6.0191	75.9
OGcluster_167_3	45	6.4718	74.4
OGcluster_1681_0	26	24.5502	65.4
OGcluster_1683_0	26	3.4837	67.9
OGcluster_1683_1	21	0.5624	64.4
OGcluster_1683_2	24	4.3303	72.8
OGcluster_168_0	21	0.6724	86.3
OGcluster_1693_0	22	0.9704	84.6
OGcluster_1696_1	45	7.0836	75.3
OGcluster_1697_0	21	13.1613	67.3
OGcluster_1703_0	18	4.2476	81.4
OGcluster_1707_0	25	6.3073	69.0
OGcluster_1711_0	19	1.5844	73.6
OGcluster_1714_0	25	10.0606	61.0
OGcluster_1715_0	20	0.3661	88.9
OGcluster_1716_0	19	1.4706	70.9
OGcluster_1718_0	17	4.5874	70.8
OGcluster_1718_1	34	2.0149	69.0
OGcluster_171_0	24	3.0892	72.9
OGcluster_171_1	31	4.9963	72.6
OGcluster_171_2	39	4.2172	80.0
OGcluster_1722_0	18	8.3114	63.0
OGcluster_1724_0	19	4.0440	73.3
OGcluster_1725_0	17	0.6395	81.9
OGcluster_1729_0	45	7.6934	77.5
OGcluster_172_0	22	1.6685	48.5
OGcluster_172_1	17	0.3853	71.2
OGcluster_172_2	19	3.8871	84.8
OGcluster_1731_0	28	17.0254	65.1
OGcluster_1732_0	26	5.9052	79.9
OGcluster_1736_0	27	14.8635	65.7
OGcluster_1738_0	27	3.0413	90.8
OGcluster_1741_0	17	3.8113	67.5
OGcluster_1741_1	21	3.1834	84.4
OGcluster_1746_0	17	9.7779	75.1
OGcluster_1754_0	18	4.9636	83.8
OGcluster_1755_1	49	9.3695	74.2
OGcluster_1757_0	19	2.2127	81.1
OGcluster_1758_1	22	10.9845	81.4
OGcluster_1765_0	21	9.9377	84.8
OGcluster_1767_0	17	6.4666	55.1
OGcluster_1769_0	18	1.5999	85.8
OGcluster_1777_0	44	10.5562	75.8
OGcluster_1778_0	24	2.5636	72.5
OGcluster_1780_0	23	0.6542	70.5
OGcluster_1782_1	48	18.5624	78.2
OGcluster_1783_0	30	1.3624	84.4
OGcluster_1784_1	26	4.2926	83.3
OGcluster_1787_0	21	6.2297	73.8
OGcluster_1789_0	24	8.0969	74.0
OGcluster_1793_1	47	19.3499	76.7
OGcluster_1796_0	20	0.6175	84.2
OGcluster_1798_0	22	1.7695	85.2
OGcluster_1799_0	47	16.1438	70.4
OGcluster_17_0	31	4.8360	63.2
OGcluster_17_1	21	1.5049	90.2
OGcluster_17_2	17	2.4911	69.5
OGcluster_17_3	17	1.8076	83.7
OGcluster_1801_0	24	3.1258	73.0
OGcluster_1803_1	38	8.9638	79.9
OGcluster_1805_0	46	3.3775	55.8
OGcluster_1809_0	21	1.3114	88.0
OGcluster_180_0	36	2.1917	65.1
OGcluster_180_1	46	4.4219	74.6
OGcluster_180_3	46	4.7994	71.1
OGcluster_180_4	37	2.3789	69.9
OGcluster_1810_0	44	8.4045	74.0
OGcluster_1812_0	35	9.1889	71.5
OGcluster_1817_0	21	19.3754	62.1
OGcluster_1820_0	23	1.0411	85.5
OGcluster_1821_0	42	5.0129	73.7
OGcluster_1822_1	50	8.9804	80.6
OGcluster_1828_0	41	7.3298	75.0
OGcluster_1830_0	19	3.5761	81.3
OGcluster_1830_1	33	3.2977	78.3
OGcluster_1833_0	22	3.1222	74.3
OGcluster_1835_0	19	7.7076	81.0
OGcluster_1841_1	44	9.3649	64.4
OGcluster_1843_0	28	7.3653	58.2
OGcluster_1847_0	31	3.0369	86.7
OGcluster_1848_0	26	7.8701	76.8
OGcluster_1854_0	17	1.8371	77.4
OGcluster_1856_0	19	1.8454	61.8
OGcluster_1857_0	25	4.6903	73.3
OGcluster_1857_1	26	2.6461	80.2
OGcluster_1860_0	19	13.7980	62.6
OGcluster_1862_0	19	0.9817	95.1
OGcluster_1863_0	24	4.6374	72.8
OGcluster_1868_0	43	14.3563	75.7
OGcluster_1869_0	48	23.2522	75.2
OGcluster_1879_1	26	1.8277	58.4
OGcluster_187_0	20	0.7977	73.5
OGcluster_187_1	19	2.3060	59.9
OGcluster_187_2	22	1.2040	50.2
OGcluster_1881_0	19	0.3606	80.8
OGcluster_1884_0	24	1.2121	85.2
OGcluster_1885_0	23	19.3948	71.5
OGcluster_1887_0	17	0.7198	79.7
OGcluster_1890_0	24	10.7207	55.2
OGcluster_1893_0	30	2.7187	87.9
OGcluster_18_0	20	0.8038	93.1
OGcluster_18_10	22	1.0374	85.0
OGcluster_18_1	30	4.0480	85.9
OGcluster_18_2	26	2.5768	85.3
OGcluster_18_3	20	1.9195	88.5
OGcluster_18_4	45	10.2261	77.4
OGcluster_18_5	22	0.9681	81.1
OGcluster_18_6	17	1.5467	78.4
OGcluster_18_7	32	2.8873	85.3
OGcluster_18_8	21	0.9172	89.0
OGcluster_18_9	24	1.4143	89.5
OGcluster_1901_0	22	10.8570	75.5
OGcluster_1904_0	17	7.2573	87.5
OGcluster_1906_0	22	7.2155	58.6
OGcluster_1907_0	26	6.2440	68.4
OGcluster_190_0	25	0.8140	82.6
OGcluster_190_1	20	0.4494	82.8
OGcluster_1912_0	46	5.8032	65.7
OGcluster_1912_1	27	2.5428	85.3
OGcluster_1916_0	24	11.9431	73.9
OGcluster_1917_0	22	8.6744	60.5
OGcluster_1917_1	27	1.6351	74.4
OGcluster_1918_0	22	0.4576	80.4
OGcluster_191_0	35	11.2172	76.8
OGcluster_191_1	26	5.5581	65.1
OGcluster_1921_0	38	7.2731	76.4
OGcluster_1924_0	17	2.0882	70.9
OGcluster_192_0	48	5.7191	73.8
OGcluster_192_1	42	3.0860	80.4
OGcluster_192_2	44	3.8657	81.2
OGcluster_1930_0	44	12.0514	74.0
OGcluster_1931_0	26	2.3635	70.8
OGcluster_1932_1	45	10.7983	79.2
OGcluster_1934_1	50	7.8033	78.2
OGcluster_1941_0	43	10.6307	78.4
OGcluster_1949_0	19	0.4584	77.3
OGcluster_1950_0	39	9.7049	79.7
OGcluster_1953_0	18	0.6240	84.5
OGcluster_1954_1	49	7.8947	72.2
OGcluster_1955_0	22	10.4344	71.0
OGcluster_1956_0	33	7.7300	86.7
OGcluster_1957_0	28	1.2251	81.6
OGcluster_195_0	19	0.8492	85.6
OGcluster_195_1	22	0.9965	79.8
OGcluster_195_2	19	1.2446	78.1
OGcluster_1960_0	50	6.1497	80.6
OGcluster_1965_1	46	7.6037	77.5
OGcluster_1966_1	46	13.6206	69.4
OGcluster_1976_0	28	1.1234	82.8
OGcluster_1978_0	35	11.0170	70.8
OGcluster_1979_0	25	3.7225	69.4
OGcluster_1980_0	48	4.6890	73.4
OGcluster_1981_0	47	8.8690	76.4
OGcluster_1983_1	48	15.5131	79.8
OGcluster_1989_0	38	3.4712	75.9
OGcluster_198_0	21	0.4425	76.1
OGcluster_1991_0	48	6.2758	78.2
OGcluster_1992_0	21	0.5675	79.4
OGcluster_1994_0	48	33.4463	72.7
OGcluster_1995_1	23	0.8164	76.0
OGcluster_1998_0	27	7.5771	86.5
OGcluster_2000_0	20	1.5851	92.6
OGcluster_2001_0	20	0.6020	87.8
OGcluster_2005_0	23	1.2074	75.3
OGcluster_2008_1	47	7.1050	79.3
OGcluster_200_0	18	5.5017	77.3
OGcluster_200_1	46	3.9584	68.5
OGcluster_200_2	23	3.4236	73.0
OGcluster_200_3	17	1.0233	84.4
OGcluster_2011_0	36	8.7455	69.0
OGcluster_2015_0	24	3.3558	65.7
OGcluster_2017_0	28	6.0931	66.6
OGcluster_201_0	22	1.5772	64.1
OGcluster_2021_0	47	19.1623	72.6
OGcluster_2024_0	42	12.9341	76.7
OGcluster_2025_0	22	6.1438	93.7
OGcluster_2030_1	32	6.1321	71.0
OGcluster_2031_0	21	0.8769	72.8
OGcluster_2033_0	20	7.4342	65.2
OGcluster_2035_0	41	7.3400	75.9
OGcluster_2037_0	24	1.9928	87.3
OGcluster_203_0	17	2.2272	75.1
OGcluster_2045_0	24	6.5595	67.8
OGcluster_204_0	41	8.1434	75.4
OGcluster_204_1	23	0.7554	82.7
OGcluster_204_2	19	0.3934	82.8
OGcluster_2052_0	25	1.3045	80.8
OGcluster_2053_0	47	5.0919	81.3
OGcluster_2055_0	22	0.5455	78.4
OGcluster_2057_0	24	14.6248	47.0
OGcluster_2059_0	40	10.3770	66.9
OGcluster_2062_0	18	0.5315	90.3
OGcluster_2063_0	28	1.1572	80.9
OGcluster_2066_0	43	3.4160	78.7
OGcluster_2067_1	38	8.6034	77.8
OGcluster_206_0	39	5.3605	80.1
OGcluster_206_1	26	1.3355	82.3
OGcluster_2072_0	26	7.5515	64.2
OGcluster_2079_0	29	0.9990	83.2
OGcluster_2081_0	24	1.1219	88.8
OGcluster_2082_1	47	9.2855	65.0
OGcluster_2085_0	19	10.1508	75.1
OGcluster_2089_0	26	1.0974	84.4
OGcluster_2092_1	47	14.0407	70.0
OGcluster_2097_0	18	1.4031	57.5
OGcluster_2097_1	22	1.1375	70.7
OGcluster_2098_0	45	11.4764	74.9
OGcluster_2099_0	17	1.3505	64.1
OGcluster_20_0	41	7.7318	88.8
OGcluster_20_1	39	8.7946	81.0
OGcluster_20_2	37	10.0965	84.1
OGcluster_20_3	29	3.4934	87.5
OGcluster_20_4	30	3.8176	84.3
OGcluster_20_5	31	2.1065	85.8
OGcluster_20_6	19	1.7932	76.7
OGcluster_2100_0	20	1.7432	78.4
OGcluster_2103_0	21	1.2618	88.8
OGcluster_2106_0	19	1.2316	82.2
OGcluster_210_0	17	2.1761	74.2
OGcluster_210_1	17	2.4661	84.9
OGcluster_210_2	28	5.3542	75.5
OGcluster_2112_0	19	2.4206	78.6
OGcluster_2112_1	21	1.7196	71.9
OGcluster_2113_0	30	7.5810	74.7
OGcluster_2113_1	23	1.1362	76.5
OGcluster_2115_0	17	2.6034	78.9
OGcluster_2116_0	19	0.7822	82.9
